locus_tag	ftype	length_bp	gene	EC_number	COG	product
PLMJLKIP_00228	CDS	276			COG1662	IS1 family transposase IS1D
PLMJLKIP_00229	CDS	450	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PLMJLKIP_00230	CDS	198				hypothetical protein
PLMJLKIP_00231	CDS	174	ortT			Orphan toxin OrtT
PLMJLKIP_00232	CDS	234	ydcY			putative protein YdcY
PLMJLKIP_00233	CDS	450	ydcZ		COG3238	Inner membrane protein YdcZ
PLMJLKIP_00234	CDS	519	mnaT	2.3.1.-	COG1247	L-amino acid N-acyltransferase MnaT
PLMJLKIP_00235	CDS	1038	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
PLMJLKIP_00236	CDS	666	mcbR		COG1802	HTH-type transcriptional regulator McbR
PLMJLKIP_00237	CDS	2103	cntO			Metal-pseudopaline receptor CntO
PLMJLKIP_00238	CDS	1062	yncE		COG3391	putative protein YncE
PLMJLKIP_00239	CDS	1500	ansP2		COG1113	L-asparagine permease 2
PLMJLKIP_00240	CDS	618	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
PLMJLKIP_00241	CDS	285				hypothetical protein
PLMJLKIP_00242	CDS	2340	vgrG1_1	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
PLMJLKIP_00243	CDS	792				hypothetical protein
PLMJLKIP_00244	CDS	660				hypothetical protein
PLMJLKIP_00245	CDS	441				hypothetical protein
PLMJLKIP_00246	CDS	357				hypothetical protein
PLMJLKIP_00247	CDS	297				hypothetical protein
PLMJLKIP_00248	CDS	978	repB			RepFIB replication protein A
PLMJLKIP_00249	CDS	120				hypothetical protein
PLMJLKIP_00250	CDS	741	xerC_1			Tyrosine recombinase XerC
PLMJLKIP_00251	CDS	903				hypothetical protein
PLMJLKIP_00252	CDS	1110				hypothetical protein
PLMJLKIP_00253	CDS	954	ompT_1	3.4.23.49	COG4571	Protease 7
PLMJLKIP_00254	CDS	102				hypothetical protein
PLMJLKIP_00255	CDS	171				hypothetical protein
PLMJLKIP_00256	CDS	366				hypothetical protein
PLMJLKIP_00257	CDS	924				IS91 family transposase ISEc37
PLMJLKIP_00258	CDS	261				IS91 family transposase ISEc37
PLMJLKIP_00259	CDS	117				hypothetical protein
PLMJLKIP_00260	CDS	216				hypothetical protein
PLMJLKIP_00261	CDS	246				hypothetical protein
PLMJLKIP_00262	CDS	324				hypothetical protein
PLMJLKIP_00263	CDS	282	relE	3.1.-.-	COG2026	mRNA interferase toxin RelE
PLMJLKIP_00264	CDS	252				hypothetical protein
PLMJLKIP_00265	CDS	843	pir			PI protein
PLMJLKIP_00266	CDS	447				hypothetical protein
PLMJLKIP_00267	CDS	357				hypothetical protein
PLMJLKIP_00268	CDS	597				hypothetical protein
PLMJLKIP_00269	CDS	276				hypothetical protein
PLMJLKIP_00270	CDS	156				hypothetical protein
PLMJLKIP_00271	CDS	285				hypothetical protein
PLMJLKIP_00272	CDS	663				hypothetical protein
PLMJLKIP_00273	CDS	645	bin3_1			Putative transposon Tn552 DNA-invertase bin3
PLMJLKIP_00274	CDS	1743	mcjD			Microcin-J25 export ATP-binding/permease protein McjD
PLMJLKIP_00275	CDS	1542				hypothetical protein
PLMJLKIP_00276	CDS	627				hypothetical protein
PLMJLKIP_00277	CDS	177	mcjA			Microcin J25
PLMJLKIP_00278	CDS	396				hypothetical protein
PLMJLKIP_00279	CDS	711	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
PLMJLKIP_00280	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
PLMJLKIP_00281	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
PLMJLKIP_00282	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
PLMJLKIP_00283	CDS	1410	glnG		COG2204	DNA-binding transcriptional regulator NtrC
PLMJLKIP_00284	CDS	111	yshB			putative protein YshB
PLMJLKIP_00285	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
PLMJLKIP_00286	CDS	510	yihI		COG3078	Der GTPase-activating protein YihI
PLMJLKIP_00287	CDS	633	engB		COG0218	putative GTP-binding protein EngB
PLMJLKIP_00288	CDS	2787	polA	2.7.7.7	COG0258	DNA polymerase I
PLMJLKIP_00289	CDS	243				hypothetical protein
PLMJLKIP_00290	CDS	933	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
PLMJLKIP_00291	CDS	1431	ydgA_1		COG5339	Protein YdgA
PLMJLKIP_00292	CDS	627	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
PLMJLKIP_00293	CDS	987	srkA	2.7.11.1	COG2334	Stress response kinase A
PLMJLKIP_00294	CDS	270	yihD		COG3084	Protein YihD
PLMJLKIP_00295	CDS	585	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
PLMJLKIP_00296	CDS	528	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
PLMJLKIP_00297	CDS	462				IS3 family transposase ISKpn38
PLMJLKIP_00298	CDS	1035				IS3 family transposase ISKpn38
PLMJLKIP_00299	CDS	888	lldP_1		COG1620	L-lactate permease
PLMJLKIP_00300	CDS	132	oppA_1		COG4166	Periplasmic oligopeptide-binding protein
PLMJLKIP_00301	CDS	300				hypothetical protein
PLMJLKIP_00302	CDS	273				hypothetical protein
PLMJLKIP_00303	CDS	216				hypothetical protein
PLMJLKIP_00304	CDS	369				hypothetical protein
PLMJLKIP_00305	CDS	243				hypothetical protein
PLMJLKIP_00306	CDS	120				hypothetical protein
PLMJLKIP_00307	CDS	1509	btuB_1			Vitamin B12 transporter BtuB
PLMJLKIP_00308	CDS	639				hypothetical protein
PLMJLKIP_00309	CDS	993				hypothetical protein
PLMJLKIP_00310	CDS	633				hypothetical protein
PLMJLKIP_00311	CDS	387				hypothetical protein
PLMJLKIP_00312	CDS	2628	traC			Protein TraC
PLMJLKIP_00313	CDS	105				hypothetical protein
PLMJLKIP_00314	CDS	516	traV			Protein TraV
PLMJLKIP_00315	CDS	252				hypothetical protein
PLMJLKIP_00316	CDS	198				hypothetical protein
PLMJLKIP_00317	CDS	591				hypothetical protein
PLMJLKIP_00318	CDS	1428				hypothetical protein
PLMJLKIP_00319	CDS	729				hypothetical protein
PLMJLKIP_00320	CDS	567				hypothetical protein
PLMJLKIP_00321	CDS	312				hypothetical protein
PLMJLKIP_00322	CDS	366	traA			Pilin
PLMJLKIP_00323	CDS	396	traY			Relaxosome protein TraY
PLMJLKIP_00324	CDS	690	traJ			Protein TraJ
PLMJLKIP_00325	CDS	384	traM			Relaxosome protein TraM
PLMJLKIP_00326	CDS	510				hypothetical protein
PLMJLKIP_00327	CDS	822				hypothetical protein
PLMJLKIP_00328	CDS	288				hypothetical protein
PLMJLKIP_00329	CDS	483				hypothetical protein
PLMJLKIP_00330	CDS	2202	iutA_2			Ferric aerobactin receptor
PLMJLKIP_00331	CDS	1278	iucD	1.14.13.59	COG3486	L-lysine N6-monooxygenase
PLMJLKIP_00332	CDS	1743	iucC	6.3.2.39	COG4264	Aerobactin synthase
PLMJLKIP_00333	CDS	948	iucB	2.3.1.102		N(6)-hydroxylysine O-acetyltransferase
PLMJLKIP_00334	CDS	1725	iucA	6.3.2.38		N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase
PLMJLKIP_00335	CDS	1194				hypothetical protein
PLMJLKIP_00336	CDS	381	crcB_1		COG0239	Putative fluoride ion transporter CrcB
PLMJLKIP_00337	CDS	216				hypothetical protein
PLMJLKIP_00338	CDS	435	eno_1	4.2.1.11	COG0148	Enolase
PLMJLKIP_00339	CDS	858	mntB_1			Manganese transport system membrane protein MntB
PLMJLKIP_00340	CDS	858	mntB_2			Manganese transport system membrane protein MntB
PLMJLKIP_00341	CDS	828	mntB_3		COG1121	Manganese transport system ATP-binding protein MntB
PLMJLKIP_00342	CDS	915			COG0803	putative periplasmic iron-binding protein
PLMJLKIP_00343	CDS	192				hypothetical protein
PLMJLKIP_00344	CDS	423				hypothetical protein
PLMJLKIP_00345	CDS	426	klcA_4			Antirestriction protein KlcA
PLMJLKIP_00346	CDS	822				hypothetical protein
PLMJLKIP_00347	CDS	435				hypothetical protein
PLMJLKIP_00348	CDS	222				hypothetical protein
PLMJLKIP_00349	CDS	684	yhdJ_1	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
PLMJLKIP_00350	CDS	927				hypothetical protein
PLMJLKIP_00351	CDS	249				hypothetical protein
PLMJLKIP_00352	CDS	438	umuD_1	3.4.21.-	COG1974	Protein UmuD
PLMJLKIP_00353	CDS	279				hypothetical protein
PLMJLKIP_00354	CDS	1011				hypothetical protein
PLMJLKIP_00355	CDS	315				hypothetical protein
PLMJLKIP_00356	CDS	1041				hypothetical protein
PLMJLKIP_00357	CDS	1041				hypothetical protein
PLMJLKIP_00358	CDS	300				hypothetical protein
PLMJLKIP_00359	CDS	1449	cusS	2.7.13.3	COG0642	Sensor histidine kinase CusS
PLMJLKIP_00360	CDS	684	cusR		COG0745	Transcriptional regulatory protein CusR
PLMJLKIP_00361	CDS	1383	cusC_1		COG1538	Cation efflux system protein CusC
PLMJLKIP_00362	CDS	333	cusF		COG5569	Cation efflux system protein CusF
PLMJLKIP_00363	CDS	1224	cusB			Cation efflux system protein CusB
PLMJLKIP_00364	CDS	3144	cusA		COG3696	Cation efflux system protein CusA
PLMJLKIP_00365	CDS	1377	pheP		COG1113	Phenylalanine-specific permease
PLMJLKIP_00366	CDS	1248	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
PLMJLKIP_00367	CDS	654	nfsB	1.-.-.-	COG0778	Oxygen-insensitive NAD(P)H nitroreductase
PLMJLKIP_00368	CDS	384				hypothetical protein
PLMJLKIP_00369	CDS	249				hypothetical protein
PLMJLKIP_00370	CDS	1119	ybdK	6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
PLMJLKIP_00371	CDS	177				hypothetical protein
PLMJLKIP_00372	CDS	153	hokE_1			Toxic protein HokE
PLMJLKIP_00373	CDS	258				hypothetical protein
PLMJLKIP_00374	CDS	744				hypothetical protein
PLMJLKIP_00375	CDS	348				hypothetical protein
PLMJLKIP_00376	CDS	315				hypothetical protein
PLMJLKIP_00377	CDS	285	traQ			Protein TraQ
PLMJLKIP_00378	CDS	546				hypothetical protein
PLMJLKIP_00379	CDS	282				hypothetical protein
PLMJLKIP_00380	CDS	306				hypothetical protein
PLMJLKIP_00381	CDS	1374				hypothetical protein
PLMJLKIP_00382	CDS	2817				hypothetical protein
PLMJLKIP_00383	CDS	522	traS			Protein TraS
PLMJLKIP_00384	CDS	735	ylpA			Lipoprotein YlpA
PLMJLKIP_00385	CDS	2172	traD			Coupling protein TraD
PLMJLKIP_00386	CDS	5271	traI			Multifunctional conjugation protein TraI
PLMJLKIP_00387	CDS	747				hypothetical protein
PLMJLKIP_00388	CDS	861	aidA			Quorum-quenching protein AidA
PLMJLKIP_00389	CDS	561	finO			Fertility inhibition protein
PLMJLKIP_00390	CDS	252				hypothetical protein
PLMJLKIP_00391	CDS	462	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
PLMJLKIP_00392	CDS	591				hypothetical protein
PLMJLKIP_00393	CDS	258				hypothetical protein
PLMJLKIP_00394	CDS	858				hypothetical protein
PLMJLKIP_00395	CDS	654				hypothetical protein
PLMJLKIP_00396	CDS	258	pemI			Antitoxin PemI
PLMJLKIP_00397	CDS	333	pemK	3.1.-.-		Endoribonuclease PemK
PLMJLKIP_00398	CDS	96				hypothetical protein
PLMJLKIP_00399	CDS	1503				hypothetical protein
PLMJLKIP_00400	CDS	450				hypothetical protein
PLMJLKIP_00401	CDS	480				hypothetical protein
PLMJLKIP_00402	CDS	195				hypothetical protein
PLMJLKIP_00403	CDS	663				hypothetical protein
PLMJLKIP_00404	CDS	1485				hypothetical protein
PLMJLKIP_00405	CDS	510				hypothetical protein
PLMJLKIP_00406	CDS	276			COG1662	IS1 family transposase IS1A
PLMJLKIP_00407	CDS	492	paoA_1	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
PLMJLKIP_00408	CDS	957	paoB	1.2.99.6	COG1319	Aldehyde oxidoreductase FAD-binding subunit PaoB
PLMJLKIP_00409	CDS	2199	paoC	1.2.99.6	COG1529	Aldehyde oxidoreductase molybdenum-binding subunit PaoC
PLMJLKIP_00410	CDS	957	paoD		COG1975	Molybdenum cofactor insertion chaperone PaoD
PLMJLKIP_00411	CDS	150				hypothetical protein
PLMJLKIP_00412	CDS	1128	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
PLMJLKIP_00413	CDS	1137			COG1073	putative protein
PLMJLKIP_00414	CDS	885	pgrR_1			HTH-type transcriptional regulator PgrR
PLMJLKIP_00415	tRNA	76				tRNA-Thr(cgt)
PLMJLKIP_00416	CDS	1254	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
PLMJLKIP_00417	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
